diseaseId,cluster
umls:C0231341,10
umls:C0039483,7
umls:C0546256,10
umls:C0034494,10
umls:C0270814,6
umls:C0242723,3
umls:C0812393,7
umls:C0851578,7
umls:C0155552,7
umls:C0014556,7
umls:C0162429,7
umls:C0024143,7
umls:C0037317,3
umls:C0036421,7
umls:C0729582,8
umls:C1800706,10
umls:C0007138,10
umls:C0349251,8
umls:C1858723,10
umls:C1839332,2
umls:C0007130,6
umls:C3713418,2
umls:C0086692,7
umls:C0015923,7
umls:C0392777,7
umls:C0281361,7
umls:C2985290,10
umls:C0011570,7
umls:C3812887,10
umls:C0694550,10
umls:C1709246,10
umls:C0024140,3
umls:C0010674,4
umls:C0403814,7
umls:C0238339,7
umls:C0030305,7
umls:C0149521,7
umls:C0021364,3
umls:C0004509,6
umls:C0037199,6
umls:C0035455,4
umls:C0019284,4
umls:C0236969,3
umls:C2749757,8
umls:C0008370,3
umls:C0013295,8
umls:C0151744,4
umls:C0085548,7
umls:C0024115,8
umls:C0267963,7
umls:C0008313,7
umls:C0028960,8
umls:C0033817,7
umls:C0376670,8
umls:C3714514,4
umls:C0006267,6
umls:C0027430,8
umls:C0042063,8
umls:C2825055,8
umls:C0030286,4
umls:C0036868,8
umls:C0085413,8
umls:C0021390,8
umls:C0041466,8
umls:C0017178,4
umls:C0341471,8
umls:C0747198,7
umls:C0004623,8
umls:C0010346,3
umls:C1258215,2
umls:C0038238,8
umls:C0950123,8
umls:C0018273,6
umls:C0266270,8
umls:C0030293,8
umls:C0010709,8
umls:C0036202,8
umls:C0876973,8
umls:C2936423,8
umls:C0221002,8
umls:C0001339,4
umls:C0022521,8
umls:C0035242,7
umls:C0085129,7
umls:C0010417,10
umls:C0566602,7
umls:C0003130,4
umls:C0341439,4
umls:C0009373,7
umls:C0278996,8
umls:C0020523,6
umls:C3714509,3
umls:C0024959,8
umls:C0403823,7
umls:C0026918,7
umls:C0022735,7
umls:C0020517,7
umls:C0021361,6
umls:C0023892,7
umls:C0000772,7
umls:C0342257,6
umls:C0282677,3
umls:C0423772,10
umls:C0036205,7
umls:C0030469,7
umls:C0015929,7
umls:C0038160,7
umls:C0021933,8
umls:C0008087,8
umls:C0033677,8
umls:C0016169,8
umls:C0011334,8
umls:C2936858,4
umls:C0270246,8
umls:C2939175,8
umls:C0546982,8
umls:C0854135,8
umls:C0032285,4
umls:C0011991,4
umls:C0008677,2
umls:C0149516,8
umls:C0004031,8
umls:C0266444,8
umls:C0267937,7
umls:C0392164,7
umls:C0022680,6
umls:C0375023,2
umls:C0746102,8
umls:C0011175,4
umls:C0008354,8
umls:C0037090,7
umls:C0006277,2
umls:C0600260,4
umls:C0015230,3
umls:C0266292,8
umls:C1567435,8
umls:C0699949,8
umls:C0001486,8
umls:C0542519,8
umls:C0267557,8
umls:C0024523,8
umls:C1527396,8
umls:C1609433,6
umls:C0021400,4
umls:C1335302,3
umls:C0151317,6
umls:C0162565,8
umls:C0220983,10
umls:C0012242,8
umls:C0267792,8
umls:C0264408,2
umls:C0035235,2
umls:C0034067,2
umls:C0221376,8
umls:C0007847,7
umls:C0729353,8
umls:C0340238,8
umls:C0339985,8
umls:C0022568,8
umls:C0848332,3
umls:C0302592,2
umls:C0021831,3
umls:C0810032,8
umls:C0019693,7
umls:C2609129,6
umls:C0332910,8
umls:C1851945,8
umls:C0008311,4
umls:C0002793,3
umls:C0346648,8
umls:C0426576,8
umls:C1842402,7
umls:C0025218,10
umls:C0854076,7
umls:C0332853,10
umls:C2733595,9
umls:C3496054,10
umls:C0032584,7
umls:C1265792,7
umls:C2350344,8
umls:C1301752,7
umls:C3539909,7
umls:C1290884,3
umls:C0398349,7
umls:C0026229,7
umls:C0020437,10
umls:C0009080,10
umls:C0086942,6
umls:C2936781,8
umls:C0085096,2
umls:C2718001,7
umls:C0334299,3
umls:C0442893,6
umls:C0694549,5
umls:C0919628,8
umls:C0026916,6
umls:C0033774,7
umls:C0162309,2
umls:C0015403,10
umls:C1559072,10
umls:C0014175,10
umls:C2931038,8
umls:C0149725,6
umls:C1302773,2
umls:C0678236,6
umls:C0030389,10
umls:C1857231,4
umls:C0149651,8
umls:C1384582,7
umls:C0025268,6
umls:C0007095,10
umls:C0206698,6
umls:C2931404,7
umls:C0267662,4
umls:C0520933,10
umls:C0022336,6
umls:C0009450,10
umls:C0699885,10
umls:C0008312,2
umls:C0023976,3
umls:C0034063,7
umls:C0023015,6
umls:C0035204,7
umls:C0268181,10
umls:C0860006,8
umls:C0546817,10
umls:C0026847,7
umls:C0017495,10
umls:C0206042,10
umls:C0162534,6
umls:C0038356,3
umls:C0027540,4
umls:C0751778,10
umls:C1864112,10
umls:C0017661,7
umls:C0036457,9
umls:C1847650,10
umls:C0027659,6
umls:C0497327,10
umls:C1852467,10
umls:C0524851,10
umls:C2931859,10
umls:C0376329,10
umls:C0751254,10
umls:C2936349,10
umls:C0011265,10
umls:C0333463,10
umls:C0036429,10
umls:C0282513,8
umls:C0011269,4
umls:C0026769,10
umls:C0022802,10
umls:C0030567,10
umls:C0002736,10
umls:C0002726,10
umls:C0020179,10
umls:C1135993,10
umls:C0007786,3
umls:C0017639,4
umls:C0030660,10
umls:C0005586,10
umls:C0733942,7
umls:C0233794,10
umls:C0085400,2
umls:C0917801,10
umls:C0743039,10
umls:C0026848,7
umls:C0037771,7
umls:C0338451,2
umls:C0234366,10
umls:C0085220,7
umls:C0236642,2
umls:C0751713,6
umls:C1842937,6
umls:C0262404,8
umls:C0949664,2
umls:C2931022,10
umls:C1853926,10
umls:C0442874,3
umls:C0233401,8
umls:C1861735,10
umls:C0333519,10
umls:C0007758,2
umls:C1510489,8
umls:C0740340,6
umls:C0751071,7
umls:C2220255,2
umls:C0276496,6
umls:C2349757,10
umls:C0393571,4
umls:C0275522,10
umls:C0017638,10
umls:C0008479,2
umls:C0037019,10
umls:C1285162,7
umls:C1857941,3
umls:C0009946,10
umls:C0677660,4
umls:C0013336,10
umls:C0039614,6
umls:C0035304,6
umls:C0033975,4
umls:C3711376,6
umls:C0751781,6
umls:C0751837,8
umls:C0679247,7
umls:C0267971,7
umls:C0022116,2
umls:C0024790,7
umls:C0349204,4
umls:C0013363,10
umls:C0238190,6
umls:C0009241,6
umls:C0741975,10
umls:C0270911,2
umls:C0410226,8
umls:C1145628,10
umls:C0752347,7
umls:C0038644,6
umls:C0027888,2
umls:C0392699,8
umls:C0027126,8
umls:C0426980,7
umls:C0240066,3
umls:C0235946,4
umls:C0751758,10
umls:C2733158,6
umls:C0031069,6
umls:C0752125,2
umls:C0043528,10
umls:C2062593,8
umls:C0751956,10
umls:C0393911,7
umls:C0342538,8
umls:C0751494,7
umls:C0262424,10
umls:C0020258,6
umls:C0270922,6
umls:C0024408,6
umls:C0520789,10
umls:C1867773,10
umls:C0087012,10
umls:C0012546,6
umls:C0442886,6
umls:C0035334,3
umls:C0149931,3
umls:C2936486,10
umls:C0795859,10
umls:C0038454,6
umls:C0549469,10
umls:C0019187,5
umls:C0042769,3
umls:C0079772,7
umls:C0751645,10
umls:C0349081,10
umls:C0424101,7
umls:C0205710,3
umls:C0555198,10
umls:C1839780,3
umls:C0085215,4
umls:C2749127,10
umls:C0282631,10
umls:C0018051,10
umls:C0040822,2
umls:C0025322,10
umls:C0154208,10
umls:C0041408,3
umls:C0747102,10
umls:C0007760,6
umls:C0270736,3
umls:C0751156,10
umls:C0234376,10
umls:C0037952,10
umls:C1401084,10
umls:C3839507,10
umls:C1263023,10
umls:C3494522,10
umls:C0432482,3
umls:C0016053,6
umls:C0424166,10
umls:C0233514,10
umls:C3825158,10
umls:C0002453,7
umls:C0751157,7
umls:C1848140,6
umls:C0743101,3
umls:C0026705,3
umls:C0233397,10
umls:C0596131,10
umls:C0008626,6
umls:C0266617,7
umls:C0262405,10
umls:C0476236,10
umls:C0687131,7
umls:C0031572,4
umls:C0376415,10
umls:C1737329,2
umls:C0004444,3
umls:C0020676,7
umls:C0796126,10
umls:C3543433,7
umls:C0476254,8
umls:C0016719,7
umls:C0598766,2
umls:C0023012,10
umls:C0683322,10
umls:C2748208,2
umls:C1801950,7
umls:C1275957,6
umls:C0525045,6
umls:C0232940,7
umls:C0752120,6
umls:C1739395,6
umls:C0342527,10
umls:C0432474,3
umls:C0338908,10
umls:C3539878,10
umls:C0004138,7
umls:C1839259,10
umls:C0037315,7
umls:C0153676,7
umls:C3714789,4
umls:C0233565,10
umls:C0376545,6
umls:C0238198,2
umls:C0080024,8
umls:C0023467,10
umls:C0221013,8
umls:C0149925,10
umls:C0027643,10
umls:C1336708,8
umls:C0684337,8
umls:C0023461,8
umls:C0024899,4
umls:C0024668,7
umls:C0042111,8
umls:C0023470,10
umls:C1261473,10
umls:C0036631,2
umls:C0037286,6
umls:C0007134,3
umls:C0027658,8
umls:C0023473,10
umls:C0007129,8
umls:C0026986,10
umls:C0027831,6
umls:C0206695,8
umls:C0262584,8
umls:C0206727,8
umls:C0162834,10
umls:C0010606,7
umls:C0242596,10
umls:C0010701,8
umls:C0206651,6
umls:C0039101,7
umls:C0205969,8
umls:C3839741,8
umls:C0032463,4
umls:C0001815,8
umls:C0879615,8
umls:C0205851,8
umls:C1882062,10
umls:C0023269,7
umls:C0206660,8
umls:C0042900,4
umls:C1322286,8
umls:C0278883,7
umls:C0206726,2
umls:C0334664,8
umls:C0079731,6
umls:C0025500,9
umls:C0017658,4
umls:C0027149,3
umls:C0040136,6
umls:C0040128,4
umls:C0685938,8
umls:C0027645,8
umls:C0729262,3
umls:C0037999,8
umls:C0023487,10
umls:C1858592,8
umls:C0220621,8
umls:C0023449,10
umls:C0027809,7
umls:C0042133,8
umls:C0023267,7
umls:C0085669,2
umls:C0272203,8
umls:C0206658,7
umls:C0027022,4
umls:C0206754,6
umls:C0018923,2
umls:C1961102,10
umls:C0686619,6
umls:C1333768,8
umls:C0175754,8
umls:C0206633,6
umls:C0024897,8
umls:C0041107,7
umls:C1112486,8
umls:C0949541,8
umls:C0521158,7
umls:C0162835,8
umls:C1266042,8
umls:C1334699,8
umls:C1275345,10
umls:C0346421,8
umls:C0206180,8
umls:C0023440,7
umls:C0220633,2
umls:C0206630,6
umls:C1265996,8
umls:C0027830,7
umls:C1335996,8
umls:C1306759,8
umls:C1840451,2
umls:C0346185,8
umls:C1636667,4
umls:C1336052,8
umls:C1136033,8
umls:C0013377,3
umls:C0027708,7
umls:C0312414,8
umls:C0014457,2
umls:C0002874,10
umls:C1333500,8
umls:C0151779,10
umls:C0340970,3
umls:C0008487,6
umls:C0002871,6
umls:C0026010,2
umls:C0334121,6
umls:C0677936,2
umls:C0205697,10
umls:C0011168,10
umls:C0079218,6
umls:C0026499,8
umls:C0392784,3
umls:C0007140,7
umls:C0854917,4
umls:C0162678,7
umls:C0035335,10
umls:C0006118,7
umls:C0206141,8
umls:C1402294,6
umls:C3266898,7
umls:C1266158,8
umls:C0206663,6
umls:C2931852,9
umls:C0005699,7
umls:C0238463,6
umls:C0553580,7
umls:C1853118,3
umls:C0238461,6
umls:C0026987,2
umls:C0002893,5
umls:C0026998,8
umls:C1847835,10
umls:C0376544,7
umls:C1520166,7
umls:C1336082,8
umls:C0679408,8
umls:C1368683,2
umls:C0242363,7
umls:C0033027,6
umls:C0031511,10
umls:C1378703,10
umls:C0346255,9
umls:C0854912,8
umls:C0241961,4
umls:C1334781,3
umls:C0079773,6
umls:C0346037,10
umls:C0206629,2
umls:C0432412,2
umls:C0280630,3
umls:C0220603,7
umls:C0036221,10
umls:C0023798,2
umls:C0600066,8
umls:C1883018,6
umls:C1456781,7
umls:C0026985,8
umls:C1704272,3
umls:C1292769,2
umls:C0032580,7
umls:C0037579,7
umls:C0567439,7
umls:C1519346,7
umls:C0001206,6
umls:C0021841,2
umls:C0040137,6
umls:C0178650,8
umls:C2698045,2
umls:C0279980,8
umls:C0026470,8
umls:C0206728,10
umls:C3463824,8
umls:C1292762,10
umls:C0263662,8
umls:C0279592,4
umls:C0206635,4
umls:C0206694,7
umls:C0346379,10
umls:C1292778,2
umls:C3472616,8
umls:C0334432,10
umls:C0740457,4
umls:C1961099,6
umls:C1519214,6
umls:C0026896,3
umls:C2004576,8
umls:C0558356,6
umls:C0279709,8
umls:C0002894,10
umls:C0751690,10
umls:C0027962,4
umls:C1334363,10
umls:C1335473,10
umls:C0032131,2
umls:C0019209,10
umls:C0238114,10
umls:C3714644,7
umls:C0375071,7
umls:C1834741,10
umls:C0334579,8
umls:C0024301,7
umls:C1335729,3
umls:C3263719,10
umls:C0267771,8
umls:C1378050,10
umls:C0024314,4
umls:C0265490,6
umls:C0343115,8
umls:C0278727,7
umls:C1704273,6
umls:C0206623,4
umls:C0206650,10
umls:C0206659,2
umls:C0153687,8
umls:C2827362,3
umls:C1332986,10
umls:C0007133,6
umls:C1540912,10
umls:C0750974,10
umls:C0334583,10
umls:C3179349,10
umls:C0206634,2
umls:C0032000,3
umls:C1851585,10
umls:C1510502,6
umls:C1266157,3
umls:C0206687,7
umls:C0039590,2
umls:C1847319,8
umls:C0279702,10
umls:C0740345,2
umls:C0948750,10
umls:C0014866,7
umls:C0751606,7
umls:C0175969,3
umls:C0004114,10
umls:C0039984,10
umls:C0020615,5
umls:C0043346,8
umls:C3665593,10
umls:C0206628,10
umls:C0027960,3
umls:C0017525,8
umls:C0279751,7
umls:C1704327,8
umls:C0023480,2
umls:C1136085,7
umls:C1333993,10
umls:C1710096,4
umls:C0039538,10
umls:C0028259,8
umls:C0025063,9
umls:C0206769,4
umls:C0153690,3
umls:C0001824,7
umls:C0855197,7
umls:C0156369,10
umls:C0206062,4
umls:C1516669,4
umls:C0014474,6
umls:C1959632,6
umls:C0030354,10
umls:C0206646,2
umls:C0334520,2
umls:C1531608,7
umls:C0677055,4
umls:C1704376,7
umls:C0346373,10
umls:C0206182,6
umls:C1541333,8
umls:C0334590,3
umls:C0016048,6
umls:C0080032,2
umls:C1851347,6
umls:C0003872,6
umls:C0004943,6
umls:C0038013,6
umls:C0034152,6
umls:C0003864,6
umls:C3495559,4
umls:C0006309,7
umls:C0015967,7
umls:C0009324,4
umls:C0242966,5
umls:C0027051,9
umls:C0010340,7
umls:C0038363,2
umls:C0424755,7
umls:C0042384,6
umls:C0751422,8
umls:C0268382,6
umls:C0000727,6
umls:C0398691,6
umls:C0027341,6
umls:C0009319,6
umls:C0034150,6
umls:C0031350,6
umls:C0001925,10
umls:C0022104,2
umls:C0024205,7
umls:C0013604,4
umls:C0039082,2
umls:C0000737,6
umls:C0027404,7
umls:C1275126,5
umls:C0015974,6
umls:C0221014,6
umls:C2316212,7
umls:C3536715,6
umls:C0409818,6
umls:C0035435,5
umls:C1858361,6
umls:C3714757,6
umls:C0035021,6
umls:C0151859,6
umls:C0268390,6
umls:C0085574,6
umls:C0008031,10
umls:C1282952,6
umls:C0003615,7
umls:C0027121,10
umls:C0029408,7
umls:C0032231,6
umls:C1561643,10
umls:C0268380,6
umls:C0410000,8
umls:C0041956,2
umls:C0036690,6
umls:C0018021,7
umls:C0751967,8
umls:C0343068,6
umls:C0026837,2
umls:C3714772,10
umls:C0033300,6
umls:C2936904,10
umls:C0031036,3
umls:C0003869,5
umls:C0003874,3
umls:C0276680,7
umls:C0403447,10
umls:C0392788,8
umls:C0016057,2
umls:C0042029,4
umls:C0521173,7
umls:C0281479,6
umls:C0085652,4
umls:C0553694,4
umls:C1692887,6
umls:C2316810,2
umls:C0002986,6
umls:C0042109,7
umls:C0231528,6
umls:C1692886,10
umls:C1253936,6
umls:C0497354,3
umls:C0333056,6
umls:C0949691,7
umls:C0277562,6
umls:C0267809,4
umls:C0038395,5
umls:C1142166,6
umls:C1879286,6
umls:C1859062,6
umls:C1837845,6
umls:C1832680,6
umls:C0004238,6
umls:C0040479,6
umls:C0042514,6
umls:C0340493,6
umls:C0085298,6
umls:C0042510,6
umls:C2931401,6
umls:C0007193,6
umls:C1838539,6
